RELATORIO DE OTIMIZACAO - MICRORREDE RODOVIA
========================================================================

Capacidades otimizadas:
- PV (kW): 224.000
- BESS (kWh): 621.978
- Transformador (kW): 201.786

Valor da funcao objetivo ativa (BRL): 960,368.71
Modo objetivo (0=simplificado, 1=artigo): 1

*** EXPORTACAO BLOQUEADA NO CENARIO ***

Comparativo lado a lado (avaliado na solucao otimizada):
- Objetivo simplificado (operacional anual - CAPEX): 175,972.51 BRL
- Objetivo artigo-like (operacional anual - CAPEX anualizado CRF - O&M): 960,368.71 BRL
- Lucro operacional anual: 1,081,942.90 BRL
- CAPEX total (unico): 905,970.39 BRL
- CAPEX anualizado (CRF): 95,269.02 BRL/ano
- O&M anual: 26,305.17 BRL/ano

Despacho horario (kW / kWh):
h,PV_gen,Grid_import,Grid_export,BESS_charge,BESS_discharge,SOC,EV_load,LoadShedding
1,0.0000,0.0000,0.0000,0.0000,35.0000,272.5275,35.0000,0.0000
2,0.0000,0.0000,0.0000,0.0000,28.0000,241.7582,28.0000,0.0000
3,0.0000,0.0000,0.0000,0.0000,22.0000,217.5824,22.0000,0.0000
4,0.0000,0.0000,0.0000,0.0000,20.0000,195.6044,20.0000,0.0000
5,22.4000,0.0000,0.0000,0.0000,2.6000,192.7473,25.0000,0.0000
6,67.2000,0.0000,0.0000,19.2000,0.0000,210.2193,48.0000,0.0000
7,72.0000,0.0000,0.0000,0.0000,0.0000,210.2193,72.0000,0.0000
8,61.3214,0.0000,0.0000,0.0000,36.6786,169.9131,98.0000,0.0000
9,201.6000,0.0000,0.0000,96.6000,0.0000,257.8191,105.0000,0.0000
10,224.0000,0.0000,0.0000,109.0000,0.0000,357.0091,115.0000,0.0000
11,212.8000,0.0000,0.0000,102.8000,0.0000,450.5571,110.0000,0.0000
12,100.0000,0.0000,0.0000,0.0000,0.0000,450.5571,100.0000,0.0000
13,190.4000,0.0000,0.0000,95.4000,0.0000,537.3711,95.0000,0.0000
14,90.0000,0.0000,0.0000,0.0000,0.0000,537.3711,90.0000,0.0000
15,156.8000,0.0000,0.0000,58.8000,0.0000,590.8791,98.0000,0.0000
16,112.0000,0.0000,0.0000,0.0000,0.0000,590.8791,112.0000,0.0000
17,67.2000,0.0000,0.0000,0.0000,58.8000,526.2637,126.0000,0.0000
18,22.4000,0.0000,0.0000,0.0000,112.6000,402.5275,135.0000,0.0000
19,0.0000,0.0000,0.0000,0.0000,128.0000,261.8681,128.0000,0.0000
20,0.0000,0.0000,0.0000,0.0000,116.0000,134.3956,116.0000,0.0000
21,0.0000,0.0000,0.0000,0.0000,94.0000,31.0989,94.0000,0.0000
22,0.0000,72.0000,0.0000,0.0000,0.0000,31.0989,72.0000,0.0000
23,0.0000,201.7858,0.0000,147.7858,0.0000,165.5840,54.0000,0.0000
24,0.0000,201.7858,0.0000,159.7858,0.0000,310.9890,42.0000,0.0000
