param,base_value,feasible_min,feasible_max,min_open,max_open,min_status,max_status
E_bess_cap_max,2000.0,0.0,200000.0,True,True,atingiu_limite_inferior,atingiu_limite_superior
P_pv_cap_max,1000.0,0.0,100000.0,True,True,atingiu_limite_inferior,atingiu_limite_superior
P_trafo_cap_max,500.0,0.0,50000.0,True,True,atingiu_limite_inferior,atingiu_limite_superior
allow_grid_export,0.0,0.0,1.0,True,True,atingiu_limite_inferior,atingiu_limite_superior
c_rate_charge,1.0,0.0,10.0,True,True,atingiu_limite_inferior,atingiu_limite_superior
c_rate_discharge,1.0,0.0,10.0,True,True,atingiu_limite_inferior,atingiu_limite_superior
capex_bess_kwh,700.0,0.0,50000.0,True,True,atingiu_limite_inferior,atingiu_limite_superior
capex_pv_kw,1200.0,0.0,50000.0,True,True,atingiu_limite_inferior,atingiu_limite_superior
capex_trafo_kw,1000.0,0.0,50000.0,True,True,atingiu_limite_inferior,atingiu_limite_superior
crf_bess,0.12,0.0,1.0,True,True,atingiu_limite_inferior,atingiu_limite_superior
crf_pv,0.1,0.0,1.0,True,True,atingiu_limite_inferior,atingiu_limite_superior
crf_trafo,0.08,0.0,1.0,True,True,atingiu_limite_inferior,atingiu_limite_superior
eta_charge,0.91,0.0,1.0,True,True,atingiu_limite_inferior,atingiu_limite_superior
eta_discharge,0.91,0.0001,1.0,True,True,atingiu_limite_inferior,atingiu_limite_superior
export_price_factor,0.7,0.0,1.0,True,True,atingiu_limite_inferior,atingiu_limite_superior
om_bess_kwh_year,25.0,0.0,5000.0,True,True,atingiu_limite_inferior,atingiu_limite_superior
om_pv_kw_year,30.0,0.0,5000.0,True,True,atingiu_limite_inferior,atingiu_limite_superior
om_trafo_kw_year,20.0,0.0,5000.0,True,True,atingiu_limite_inferior,atingiu_limite_superior
operational_days_equivalent,365.0,0.0,3650.0,True,True,atingiu_limite_inferior,atingiu_limite_superior
soc_initial_frac,0.5,0.0,1.0,True,True,atingiu_limite_inferior,atingiu_limite_superior
soc_max_frac,0.95,0.0,1.0,True,True,atingiu_limite_inferior,atingiu_limite_superior
soc_min_frac,0.05,0.0,1.0,True,True,atingiu_limite_inferior,atingiu_limite_superior
tariff_ev,1.6,0.0,10.0,True,True,atingiu_limite_inferior,atingiu_limite_superior
